feature,mean_abs_shap,target,rank
material_Steel,0.12051053470262332,winding_resistance_mOhm,44
temp_max_C,3.542899072476674,insulation_integrity_score,1
tension_peak_N,2.884610664643385,insulation_integrity_score,2
tension_mean_N,1.0674921337005456,insulation_integrity_score,3
winding_temperature_C,0.8693715359425583,insulation_integrity_score,4
temp_time_above_60s,0.7774321073149175,insulation_integrity_score,5
log_temp_time_above_60s,0.6430780796279243,insulation_integrity_score,6
wire_tension_N,0.5064892764597726,insulation_integrity_score,7
log_thermal_stress_idx,0.10486827382023574,insulation_integrity_score,8
thermal_stress_idx,0.0957054646990449,insulation_integrity_score,9
temp_gradient_C_per_turn,0.08321110944973514,insulation_integrity_score,10
tension_std_N,0.08000035535503124,insulation_integrity_score,11
winding_speed_rpm,0.07600694425296227,insulation_integrity_score,12
slot_depth_mm,0.07237310490170884,insulation_integrity_score,13
tension_dynamic_range,0.07191720516552808,insulation_integrity_score,14
slot_width_mm,0.07088204820236886,insulation_integrity_score,15
insulation_thickness_mm,0.06367887605935227,insulation_integrity_score,16
speed_tension_product,0.05044016260941652,insulation_integrity_score,17
log_tension_slope_start,0.04650652669440586,insulation_integrity_score,18
mech_load_idx,0.044698135851263185,insulation_integrity_score,19
tension_slope_start,0.04097744304441301,insulation_integrity_score,20
num_turns,0.0404909468104728,insulation_integrity_score,21
spindle_torque_Nm,0.03878366231811395,insulation_integrity_score,22
power_instability_idx,0.03789122677944812,insulation_integrity_score,23
power_mean_W,0.03773710275352487,insulation_integrity_score,24
back_tension_N,0.03352764544567034,insulation_integrity_score,25
power_per_turn_W,0.0332113601027922,insulation_integrity_score,26
log_power_per_turn_W,0.032712229210267244,insulation_integrity_score,27
back_tension_ratio,0.029226093384072286,insulation_integrity_score,28
log_back_tension_ratio,0.028931266765309514,insulation_integrity_score,29
power_energy_J,0.028075428664976646,insulation_integrity_score,30
log_power_std_W,0.026167449458443848,insulation_integrity_score,31
power_std_W,0.02514196836853928,insulation_integrity_score,32
